,_politicianId,_stateId,party,partyOther,district,firstName,lastName,nickname,middleName,fullName,dob,gender,socialFacebook,socialTwitter,socialYoutube,website,chamber,committees,stats.dateLastTraded,stats.countTrades,stats.countIssuers,stats.volume
18,L000579,ca,democrat,,47,Alan,Lowenthal,,Stuart,"Lowenthal, Alan Stuart",1941-03-08,male,RepLowenthal,@RepLowenthal,RepLowenthal,https://lowenthal.house.gov,house,"['hsii', 'hspw']",2022-08-26,699,115,5916037
19,S000344,ca,democrat,,30,Bradley,Sherman,Brad,James,"Sherman, Bradley James (Brad)",1954-10-24,male,63158229861,@BradSherman,shermanca27,https://sherman.house.gov,house,"['hsba', 'hsfa', 'hssy']",2022-08-26,3,1,1157500
20,H001082,ok,republican,,1,Kevin,Hern,,Ray,"Hern, Kevin Ray",1961-12-04,male,,@repkevinhern,,https://hern.house.gov,house,['hswm'],2022-08-25,478,141,34321000
21,L000397,ca,democrat,,19,Susan,Lofgren,Zoe,Ellen,"Lofgren, Susan Ellen (Zoe)",1947-12-21,female,zoelofgren,@RepZoeLofgren,RepZoeLofgren,https://lofgren.house.gov,house,"['hsha', 'hsju', 'hsmh', 'hssy']",2022-08-25,203,121,1722000
22,S001180,or,democrat,,5,Walter,Schrader,Kurt,Kurt,"Schrader, Walter Kurt (Kurt)",1951-10-19,male,repschrader,@RepSchrader,repkurtschrader,https://schrader.house.gov,house,['hsif'],2022-08-24,430,162,4830500
23,P000197,ca,democrat,,12,Nancy,Pelosi,,Patricia,"Pelosi, Nancy Patricia",1940-03-26,female,NancyPelosi,@SpeakerPelosi,nancypelosi,https://pelosi.house.gov,house,[],2022-08-24,77,24,64976944
24,C001068,tn,democrat,,9,Stephen,Cohen,Steve,Ira,"Cohen, Stephen Ira (Steve)",1949-05-24,male,CongressmanSteveCohen,@RepCohen,repcohen,https://cohen.house.gov,house,"['hsii', 'hsju', 'hspw']",2022-08-23,63,38,1251000
25,G000591,ms,republican,,3,Michael,Guest,,Patrick,"Guest, Michael Patrick",1970-02-04,male,,@RepMichaelGuest,,https://guest.house.gov,house,"['hshm', 'hspw', 'hsso']",2022-08-23,15,10,486000
26,H001086,tn,republican,,1,Diana,Harshbarger,,,"Harshbarger, Diana",1960-01-01,female,,@RepHarshbarger,,https://harshbarger.house.gov/,house,"['hsed', 'hshm']",2022-08-19,3261,242,30245500
27,H000601,tn,republican,,,William,Hagerty,Bill,Francis IV,"Hagerty, William Francis IV (Bill)",1959-08-14,male,,@SenatorHagerty,,https://www.hagerty.senate.gov,senate,"['ssap', 'ssbk', 'ssfr', 'ssra']",2022-08-19,51,26,30919000
28,W000797,fl,democrat,,23,Deborah,Wasserman Schultz,Debbie,,"Wasserman Schultz, Deborah (Debbie)",1966-09-27,female,RepDWS,@RepDWStweets,RepWassermanSchultz,https://wassermanschultz.house.gov,house,"['hsap', 'hsgo']",2022-08-19,24,7,192000
29,C000174,de,democrat,,,Thomas,Carper,,Richard,"Carper, Thomas Richard",1947-01-23,male,tomcarper,@SenatorCarper,senatorcarper,https://www.carper.senate.gov/public,senate,"['ssev', 'ssfi', 'ssga']",2022-08-18,549,214,6125000
30,L000559,ri,democrat,,2,James,Langevin,Jim,R,"Langevin, James R (Jim)",1964-04-22,male,CongressmanJimLangevin,@JimLangevin,jimlangevin,https://langevin.house.gov,house,"['hsas', 'hshm']",2022-08-17,270,21,7699500
31,D000399,tx,democrat,,35,Lloyd,Doggett,,Alton,"Doggett, Lloyd Alton",1946-10-06,male,lloyddoggett,@RepLloydDoggett,doggett,https://doggett.house.gov,house,"['hsbu', 'hswm']",2022-08-16,58,6,464000
32,B000574,or,democrat,,3,Earl,Blumenauer,,Francis,"Blumenauer, Earl Francis",1948-08-16,male,,@BlumenauerMedia,RepBlumenauer,https://blumenauer.house.gov,house,['hswm'],2022-08-15,250,106,5118500
33,D000628,fl,republican,,2,Neal,Dunn,,Patrick,"Dunn, Neal Patrick",1953-02-16,male,drnealdunnfl2,@drnealdunnfl2,,https://dunn.house.gov,house,['hsif'],2022-08-15,59,10,4010000
34,A000372,ga,republican,,12,Richard,Allen,Rick,Wayne,"Allen, Richard Wayne (Rick)",1951-11-07,male,CongressmanRickAllen,@reprickallen,,https://allen.house.gov,house,"['hsag', 'hsed']",2022-08-15,44,27,1116500
35,P000608,ca,democrat,,52,Scott,Peters,,Harvey,"Peters, Scott Harvey",1958-06-17,male,RepScottPeters,@RepScottPeters,,https://scottpeters.house.gov,house,"['hsbu', 'hsif', 'hssm']",2022-08-12,124,66,54388000
36,G000061,ca,republican,,25,Michael,Garcia,Mike,,"Garcia, Michael (Mike)",1976-04-24,male,RepMikeGarcia,@RepMikeGarcia,,https://mikegarcia.house.gov,house,"['hsap', 'hssy']",2022-08-12,47,15,1318500
37,B001277,ct,democrat,,,Richard,Blumenthal,,,"Blumenthal, Richard",1946-02-13,male,SenBlumenthal,@SenBlumenthal,SenatorBlumenthal,https://www.blumenthal.senate.gov,senate,"['spag', 'ssas', 'sscm', 'ssju', 'ssva']",2022-08-11,321,106,60873000
38,H000273,co,democrat,,,John,Hickenlooper,,Wright,"Hickenlooper, John Wright, Jr",1952-02-07,male,,@SenatorHick,,https://www.hickenlooper.senate.gov,senate,"['sscm', 'sseg', 'sshr', 'sssb']",2022-08-11,48,25,6252500
39,C001035,me,republican,,,Susan,Collins,,Margaret,"Collins, Susan Margaret",1952-12-07,female,susancollins,@SenatorCollins,SenatorSusanCollins,https://www.collins.senate.gov,senate,"['slin', 'spag', 'ssap', 'sshr']",2022-08-10,30,27,1426500
40,M001205,wv,republican,,3,Carol,Miller,,Devine,"Miller, Carol Devine",1950-11-04,female,,@RepCarolMiller,,https://miller.house.gov,house,"['hscn', 'hswm']",2022-08-08,57,43,1460500
41,E000296,pa,democrat,,3,Dwight,Evans,,E,"Evans, Dwight E",1954-05-16,male,RepDwightEvans,@RepDwightEvans,,https://evans.house.gov,house,"['hssm', 'hswm']",2022-08-05,80,48,756000
42,S001201,ny,democrat,,3,Thomas,Suozzi,Tom,Richard,"Suozzi, Thomas Richard (Tom)",1962-08-31,male,RepTomSuozzi,@RepTomSuozzi,,https://suozzi.house.gov,house,['hswm'],2022-08-03,346,122,11697897
43,D000624,mi,democrat,,12,Deborah,Dingell,Debbie,Ann,"Dingell, Deborah Ann (Debbie)",1953-11-23,female,RepDebbieDingell,@RepDebDingell,,https://debbiedingell.house.gov,house,"['hsif', 'hsii']",2022-08-03,42,29,1149500
44,S001217,fl,republican,,,Richard,Scott,Rick,Lynn,"Scott, Richard Lynn (Rick)",1952-12-01,male,,@SenRickScott,,https://www.rickscott.senate.gov,senate,"['spag', 'ssas', 'ssbu', 'sscm', 'ssga']",2022-08-01,126,39,104432000
45,E000298,ks,republican,,4,Ronald,Estes,Ron,Gene,"Estes, Ronald Gene (Ron)",1956-07-19,male,RepRonEstes,@RepRonEstes,,https://estes.house.gov,house,['hswm'],2022-08-01,13,7,153000
46,B001292,va,democrat,,8,Donald,Beyer,Don,Sternoff,"Beyer, Donald Sternoff, Jr (Don)",1950-06-20,male,RepDonBeyer,@RepDonBeyer,,https://beyer.house.gov,house,"['hssy', 'hswm']",2022-07-28,924,109,45302222
47,B001236,ar,republican,,,John,Boozman,,Nichols,"Boozman, John Nichols",1950-12-10,male,JohnBoozman,@JohnBoozman,BoozmanPressOffice,https://www.boozman.senate.gov/public,senate,"['jcse', 'ssaf', 'ssap', 'ssev', 'ssva']",2022-07-27,308,94,4193000
48,L000564,co,republican,,5,Douglas,Lamborn,Doug,Lawrence,"Lamborn, Douglas Lawrence (Doug)",1954-05-24,male,CongressmanDougLamborn,@RepDLamborn,CongressmanLamborn,https://lamborn.house.gov,house,"['hsas', 'hsii']",2022-07-25,161,1,2807000
49,J000020,ny,republican,,27,Christopher,Jacobs,Chris,Louis,"Jacobs, Christopher Louis (Chris)",1966-11-28,male,,@RepJacobs,,https://jacobs.house.gov,house,"['hsag', 'hsbu']",2022-07-22,205,142,5390500
50,B001274,al,republican,,5,Morris,Brooks,Mo,Jackson,"Brooks, Morris Jackson Jr (Mo)",1954-04-29,male,RepMoBrooks,@RepMoBrooks,RepMoBrooks,https://brooks.house.gov,house,"['hsas', 'hssy']",2022-07-22,51,31,800000
51,F000459,tn,republican,,3,Charles,Fleischmann,Chuck,Joseph,"Fleischmann, Charles Joseph (Chuck)",1962-10-11,male,repchuck,@RepChuck,repchuck,https://fleischmann.house.gov,house,['hsap'],2022-07-21,187,79,1875000
52,P000595,mi,democrat,,,Gary,Peters,,Charles,"Peters, Gary Charles, Sr",1958-12-01,male,SenGaryPeters,@SenGaryPeters,RepGaryPeters,https://www.peters.senate.gov,senate,"['ssas', 'sscm', 'ssga']",2022-07-20,36,31,435000
53,K000376,pa,republican,,16,George,Kelly,Mike,Joseph,"Kelly, George Joseph, Jr (Mike)",1948-05-10,male,191056827594903,@MikeKellyPA,repmikekelly,https://kelly.house.gov,house,['hswm'],2022-07-13,34,23,3219500
54,W000812,mo,republican,,2,Ann,Wagner,,Louise,"Wagner, Ann Louise",1962-09-13,female,RepAnnWagner,@RepAnnWagner,,https://wagner.house.gov,house,"['hsba', 'hsfa']",2022-07-13,23,22,4225000
55,L000566,oh,republican,,5,Robert,Latta,Bob,Edward,"Latta, Robert Edward (Bob)",1956-04-18,male,boblatta,@BobLatta,CongressmanBobLatta,https://latta.house.gov,house,"['hsif', 'hsmh']",2022-07-12,2,1,16000
56,C001047,wv,republican,,,Shelley,Capito,,Wellons,"Capito, Shelley Wellons Moore",1953-11-26,female,senshelley,@SenCapito,,https://www.capito.senate.gov,senate,"['ssap', 'sscm', 'ssev', 'ssra']",2022-07-11,71,45,1283000
57,S000250,tx,republican,,17,Peter,Sessions,Pete,Anderson,"Sessions, Peter Anderson (Pete)",1955-03-22,male,petesessions,@PeteSessions,PeteSessions,https://sessions.house.gov,house,"['hsgo', 'hssy']",2022-07-08,79,49,1638848
58,C001101,ma,democrat,,5,Katherine,Clark,,Marlea,"Clark, Katherine Marlea",1963-07-17,female,CongresswomanClark,@RepKClark,,https://katherineclark.house.gov,house,['hsap'],2022-07-07,289,70,3253500
59,M001180,wv,republican,,1,David,McKinley,,Bennett,"McKinley, David Bennett",1947-03-28,male,RepMcKinley,@RepMcKinley,RepDavidMcKinley,https://mckinley.house.gov,house,['hsif'],2022-07-07,155,48,2277670
60,W000805,va,democrat,,,Mark,Warner,,Robert,"Warner, Mark Robert",1954-12-15,male,MarkRWarner,@MarkWarner,SenatorMarkWarner,https://www.warner.senate.gov,senate,"['slin', 'ssbk', 'ssbu', 'ssfi', 'ssra']",2022-07-06,23,13,22415500
61,G000359,sc,republican,,,Lindsey,Graham,,Olin,"Graham, Lindsey Olin",1955-07-09,male,USSenatorLindseyGraham,@GrahamBlog,USSenLindseyGraham,https://www.lgraham.senate.gov/public,senate,"['ssap', 'ssbu', 'ssev', 'ssju']",2022-06-30,3,3,73000
62,G000588,oh,republican,,16,Anthony,Gonzalez,,E,"Gonzalez, Anthony E",1984-09-19,male,,@RepAGonzalez,,https://anthonygonzalez.house.gov,house,"['hsba', 'hssy']",2022-06-28,9,8,813500
63,M001186,mi,republican,,3,Peter,Meijer,,James,"Meijer, Peter James",1988-01-10,male,,@RepMeijer,,https://meijer.house.gov/,house,"['hsfa', 'hshm', 'hssy']",2022-06-27,270,213,4936500
64,F000463,ne,republican,,,Debra,Fischer,Deb,Lynelle,"Fischer, Debra Lynelle Strobel (Deb)",1951-03-01,female,senatordebfischer,@SenatorFischer,senatordebfischer,https://www.fischer.senate.gov,senate,"['slet', 'ssaf', 'ssas', 'sscm', 'ssra']",2022-06-23,4,4,166000
65,S001198,ak,republican,,,Daniel,Sullivan,Dan,Scott,"Sullivan, Daniel Scott (Dan)",1964-11-13,male,SenDanSullivan,@SenDanSullivan,,https://www.sullivan.senate.gov,senate,"['ssas', 'sscm', 'ssev', 'ssva']",2022-06-21,8,2,405500
66,D000629,ks,democrat,,3,Sharice,Davids,,Lynnette,"Davids, Sharice Lynnette",1980-05-22,female,,@RepDavids,,https://davids.house.gov,house,"['hspw', 'hssm']",2022-06-21,6,5,10500
67,S000168,fl,republican,,27,Maria,Salazar,,Elvira,"Salazar, Maria Elvira",1961-11-01,female,,@RepMariaSalazar,,https://salazar.house.gov/,house,"['hsfa', 'hssm']",2022-06-21,3,3,925000
68,G000596,ga,republican,,14,Marjorie,Greene,,Taylor,"Greene, Marjorie Taylor",1974-05-27,female,,@RepMTG,,https://greene.house.gov/,house,[],2022-06-10,114,67,1671000
69,M000087,ny,democrat,,12,Carolyn,Maloney,,Bosher,"Maloney, Carolyn Bosher",1946-02-19,female,RepCarolynMaloney,@RepMaloney,carolynbmaloney,https://maloney.house.gov,house,"['hsba', 'hsgo']",2022-06-08,14,7,1550000
70,R000395,ky,republican,,5,Harold,Rogers,,Dallas,"Rogers, Harold Dallas",1937-12-31,male,CongressmanHalRogers,@RepHalRogers,RepHalRogers,https://halrogers.house.gov,house,['hsap'],2022-06-07,48,31,457500
71,S001204,gu,democrat,,At-Large,Michael,San Nicolas,,Franklin Quitugua,"San Nicolas, Michael Franklin Quitugua",1981-01-30,male,,@GuamCongressman,,https://sannicolas.house.gov,house,"['hsba', 'hsii']",2022-06-07,4,1,1500000
72,B000575,mo,republican,,,Roy,Blunt,,Dean,"Blunt, Roy Dean",1950-01-10,male,SenatorBlunt,@RoyBlunt,SenatorBlunt,https://www.blunt.senate.gov,senate,"['jslc', 'jspr', 'slin', 'ssap', 'sscm', 'ssra']",2022-06-06,7,6,263500
73,M001163,ca,democrat,,6,Doris,Matsui,,Okada,"Matsui, Doris Okada",1944-09-25,female,doris.matsui,@DorisMatsui,RepDorisMatsui,https://matsui.house.gov,house,"['hsif', 'hsii']",2022-06-03,16,5,12333000
74,M000355,ky,republican,,,Addison,McConnell,Mitch,Mitchell,"McConnell, Addison Mitchell, Jr (Mitch)",1942-02-20,male,mitchmcconnell,@McConnellPress,,https://www.mcconnell.senate.gov,senate,"['slin', 'ssaf', 'ssap', 'ssra']",2022-06-03,11,1,88000
75,J000305,ca,democrat,,53,Sara,Jacobs,,Josephine,"Jacobs, Sara Josephine",1989-02-01,female,,@RepSaraJacobs,,https://sarajacobs.house.gov/,house,"['hsas', 'hsfa']",2022-05-31,64,55,7413000
76,G000581,tx,democrat,,15,Vicente,Gonzalez,,,"Gonzalez, Vicente Jr",1967-09-04,male,USCongressmanVicenteGonzalez,@RepGonzalez,,https://gonzalez.house.gov,house,"['hsba', 'hsfa']",2022-05-29,2,2,183000
77,K000375,ma,democrat,,9,William,Keating,Bill,Richard,"Keating, William Richard (Bill)",1952-09-06,male,Congressman.Keating,@USRepKeating,RepBillKeating,https://keating.house.gov,house,"['hsas', 'hsfa']",2022-05-26,75,59,1114500
78,P000597,me,democrat,,1,Rochelle,Pingree,Chellie,Marie,"Pingree, Rochelle Marie (Chellie)",1955-04-02,female,ChelliePingree,@ChelliePingree,congresswomanpingree,https://pingree.house.gov,house,"['hsag', 'hsap']",2022-05-26,5,1,1650000
79,C001053,ok,republican,,4,Thomas,Cole,Tom,Jeffery,"Cole, Thomas Jeffery (Tom)",1949-04-28,male,TomColeOK04,@TomColeOK04,reptomcole,https://cole.house.gov,house,"['hsap', 'hsru']",2022-05-25,4,4,798500
80,S001207,nj,democrat,,11,Rebecca,Sherrill,Mikie,Michelle,"Sherrill, Rebecca Michelle (Mikie)",1972-01-19,female,,@RepSherrill,,https://sherrill.house.gov,house,"['hsas', 'hsed', 'hssy']",2022-05-23,172,120,3324445
81,P000593,co,democrat,,7,Edwin,Perlmutter,Ed,George,"Perlmutter, Edwin George (Ed)",1953-05-01,male,RepPerlmutter,@RepPerlmutter,RepPerlmutter,https://perlmutter.house.gov,house,"['hsba', 'hsmh', 'hsru', 'hssy']",2022-05-20,56,20,448000
82,J000295,oh,republican,,14,David,Joyce,,Patrick,"Joyce, David Patrick",1957-03-17,male,RepDaveJoyce,@RepDaveJoyce,repdavejoyce,https://joyce.house.gov,house,"['hsap', 'hsso']",2022-05-19,25,16,438500
83,C001104,nc,republican,,11,David,Cawthorn,Madison,Madison,"Cawthorn, David Madison (Madison)",1995-08-01,male,,@RepCawthorn,,https://cawthorn.house.gov/,house,"['hsed', 'hsvr']",2022-05-18,30,8,1336000
84,L000590,nv,democrat,,3,Suzanne,Lee,Susie,Marie,"Lee, Suzanne Marie (Susie)",1966-11-07,female,,@RepSusieLee,,https://susielee.house.gov,house,['hsap'],2022-05-12,798,240,6564001
85,T000250,sd,republican,,,John,Thune,,Randolph,"Thune, John Randolph",1961-01-07,male,,@SenJohnThune,johnthune,https://www.thune.senate.gov,senate,"['ssaf', 'sscm', 'ssfi']",2022-05-05,3,2,97500
86,C001088,de,democrat,,,Christopher,Coons,,Andrew,"Coons, Christopher Andrew",1963-09-09,male,senatorchriscoons,@ChrisCoons,senatorchriscoons,https://www.coons.senate.gov,senate,"['slet', 'ssap', 'ssfr', 'ssju', 'sssb']",2022-05-03,10,1,2124000
87,M001210,nc,republican,,3,Gregory,Murphy,Greg,Francis,"Murphy, Gregory Francis (Greg)",1963-03-05,male,,@RepGregMurphy,,https://gregmurphy.house.gov/,house,"['hsed', 'hsvr']",2022-05-01,3,3,525000
88,M001199,fl,republican,,18,Brian,Mast,,Jeffery,"Mast, Brian Jeffery",1980-07-10,male,repbrianmast,@repbrianmast,repbrianmast,https://mast.house.gov,house,"['hsfa', 'hspw']",2022-04-18,48,18,1344500
89,P000048,tx,republican,,11,August,Pfluger,,Lee,"Pfluger, August Lee",1978-12-28,male,,@RepPfluger,,https://pfluger.house.gov/,house,"['hsfa', 'hshm']",2022-04-12,21,10,192500
90,W000802,ri,democrat,,,Sheldon,Whitehouse,,,"Whitehouse, Sheldon",1955-10-20,male,SenatorWhitehouse,@SenWhitehouse,SenatorWhitehouse,https://www.whitehouse.senate.gov,senate,"['jcse', 'scnc', 'ssbu', 'ssev', 'ssfi', 'ssju']",2022-04-11,46,25,784500
91,K000392,tn,republican,,8,David,Kustoff,,Frank,"Kustoff, David Frank",1966-10-08,male,RepDavidKustoff,@repdavidkustoff,,https://kustoff.house.gov,house,['hsba'],2022-04-11,23,13,506902
92,R000608,nv,democrat,,,Jacklyn,Rosen,,Sheryl,"Rosen, Jacklyn Sheryl",1957-08-02,female,RepJackyRosen,@SenJackyRosen,,https://www.rosen.senate.gov,senate,"['scnc', 'spag', 'ssas', 'sscm', 'ssga', 'sshr', 'sssb']",2022-04-08,14,10,112000
93,C001069,ct,democrat,,2,Joseph,Courtney,Joe,Darren,"Courtney, Joseph Darren (Joe)",1953-04-06,male,joecourtney,@RepJoeCourtney,repcourtney,https://courtney.house.gov,house,"['hsas', 'hsed']",2022-04-05,162,110,1639000
94,S001203,mn,democrat,,,Christine,Smith,Tina,Elizabeth,"Smith, Christine Elizabeth (Tina)",1958-03-04,female,USSenTinaSmith,@SenTinaSmith,,https://www.smith.senate.gov,senate,"['slia', 'ssaf', 'ssbk', 'sshr']",2022-04-04,8,6,1205500
95,R000609,fl,republican,,4,John,Rutherford,,Henry,"Rutherford, John Henry",1952-09-02,male,RepRutherfordFL,@RepRutherfordFL,,https://rutherford.house.gov,house,"['hsap', 'hsso']",2022-03-23,171,122,1417000
96,S001216,wa,democrat,,8,Kimberly,Schrier,Kim,Merle,"Schrier, Kimberly Merle (Kim)",1968-08-23,female,,@RepKimSchrier,,https://schrier.house.gov,house,"['hsag', 'hsif']",2022-03-22,39,23,11963000
97,A000148,ma,democrat,,4,Jacob,Auchincloss,Jake,Daniel,"Auchincloss, Jacob Daniel (Jake)",1988-01-29,male,,@RepAuchincloss,,https://auchincloss.house.gov/,house,"['hsba', 'hspw']",2022-03-22,1,1,32500
98,F000472,fl,republican,,15,Clifford,Franklin,,Scott,"Franklin, Clifford Scott",1964-08-23,male,,@RepFranklin,,https://franklin.house.gov/,house,"['hsas', 'hsgo']",2022-03-21,38,23,9495009
99,P000523,nc,democrat,,4,David,Price,,Eugene,"Price, David Eugene",1940-08-17,male,RepDavidEPrice,@RepDavidEPrice,RepDavidPrice,https://price.house.gov,house,"['hsap', 'hsbu']",2022-03-17,21,16,209733
100,C001059,ca,democrat,,16,James,Costa,Jim,Manuel,"Costa, James Manuel (Jim)",1952-04-13,male,RepJimCosta,@RepJimCosta,RepJimCostaCA20,https://costa.house.gov,house,"['hsag', 'hsfa', 'hsii']",2022-03-16,1,1,32500
101,W000779,or,democrat,,,Ronald,Wyden,Ron,Lee,"Wyden, Ronald Lee (Ron)",1949-05-03,male,,@RonWyden,senronwyden,https://www.wyden.senate.gov,senate,"['jstx', 'slin', 'ssbu', 'sseg', 'ssfi']",2022-02-24,269,70,11956500
102,T000461,pa,republican,,,Patrick,Toomey,Pat,Joseph,"Toomey, Patrick Joseph (Pat), Jr",1961-11-17,male,senatortoomey,@SenToomey,sentoomey,https://www.toomey.senate.gov,senate,"['ssbk', 'ssbu', 'ssfi']",2022-02-24,43,27,491000
103,L000576,mo,republican,,7,William,Long,Billy,Hollis,"Long, William Hollis II (Billy)",1955-08-11,male,Rep.Billy.Long,@USRepLong,MOdistrict7,https://long.house.gov,house,['hsif'],2022-02-24,32,6,1682000
104,S001214,fl,republican,,17,William,Steube,Greg,Gregory,"Steube, William Gregory (Greg)",1978-05-19,male,,@RepGregSteube,,https://steube.house.gov,house,"['hsfa', 'hsju']",2022-02-23,10,1,104500
105,B001260,fl,republican,,16,Vernon,Buchanan,,Gale,"Buchanan, Vernon Gale",1951-05-08,male,CongressmanBuchanan,@VernBuchanan,vernbuchanan,https://buchanan.house.gov,house,['hswm'],2022-02-15,62,48,7452500
106,R000606,md,democrat,,8,Jamin,Raskin,Jamie,Ben,"Raskin, Jamin Ben (Jamie)",1962-12-13,male,repraskin,@repraskin,,https://raskin.house.gov,house,"['hsgo', 'hsha', 'hsju', 'hsru']",2022-02-09,3,3,2219520
107,N000192,il,democrat,,3,Marie,Newman,,,"Newman, Marie",1964-04-13,female,,@RepMarieNewman,,https://newman.house.gov/,house,"['hspw', 'hssm']",2022-02-08,300,61,6252500
108,S001205,pa,democrat,,5,Mary,Scanlon,,Gay,"Scanlon, Mary Gay",1959-08-30,female,,@RepMGS,,https://scanlon.house.gov,house,"['hsha', 'hsju', 'hsru']",2022-02-04,8,7,137500
109,R000305,nc,democrat,,2,Deborah,Ross,,K,"Ross, Deborah K",1963-06-20,female,,@RepDeborahRoss,,https://ross.house.gov/,house,"['hsju', 'hsru', 'hssy']",2022-01-27,23,20,618500
110,C001120,tx,republican,,2,Daniel,Crenshaw,Dan,Reed,"Crenshaw, Daniel Reed (Dan)",1984-03-14,male,,@RepDanCrenshaw,,https://crenshaw.house.gov,house,['hsif'],2022-01-26,25,10,249000
111,C001080,ca,democrat,,27,Judy,Chu,,May,"Chu, Judy May",1953-07-07,female,RepJudyChu,@RepJudyChu,RepJudyChu,https://chu.house.gov,house,"['hsbu', 'hssm', 'hswm']",2022-01-26,3,2,97500
112,C001098,tx,republican,,,Rafael,Cruz,Ted,Edward,"Cruz, Rafael Edward (Ted)",1970-12-22,male,SenatorTedCruz,@SenTedCruz,sentedcruz,https://www.cruz.senate.gov,senate,"['jsec', 'sscm', 'ssfr', 'ssju', 'ssra']",2022-01-25,2,2,40500
