,_txId,_politicianId,_assetId,_issuerId,pubDate,filingDate,txDate,txType,txTypeExtended,hasCapitalGains,owner,chamber,price,size,sizeRangeHigh,sizeRangeLow,value,filingId,filingURL,reportingGap,comment,committees,labels,asset.assetType,asset.assetTicker,asset.instrument,issuer._stateId,issuer.c2iq,issuer.country,issuer.issuerName,issuer.issuerTicker,issuer.sector,politician._stateId,politician.chamber,politician.dob,politician.firstName,politician.gender,politician.lastName,politician.nickname,politician.party
31,20003750441,F000462,100007995,432333,2022-07-25T13:05:05Z,2022-07-22,2022-07-15,sell,,False,not-disclosed,house,14.15,566,1061,71,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,7,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],reit,HPP:US,,ca,JETVU1G9,us,Hudson Pacific Properties Inc,HPP:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,,democrat
32,20003750442,F000462,100011279,434930,2022-07-25T13:05:05Z,2022-07-22,2022-06-29,sell,,False,not-disclosed,house,106.09,76,142,10,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,23,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,SWK:US,,ct,XJ9VU1C4,us,Stanley Black & Decker Inc,SWK:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
33,20003750443,F000462,100011784,435342,2022-07-25T13:05:05Z,2022-07-22,2022-07-13,sell,,False,not-disclosed,house,127.61,63,118,8,8000,204079444,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021425.pdf,9,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,TT:US,,,YPTVU1B2,ie,Trane Technologies PLC,TT:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
34,20003748966,F000462,100005369,430117,2022-06-17T13:05:03Z,2022-06-16,2022-06-01,buy,,False,not-disclosed,house,660.51,13,23,2,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,15,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,BLK:US,,ny,SK0VU1F2,us,Blackrock Inc,BLK:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
35,20003748967,F000462,100005900,430554,2022-06-17T13:05:03Z,2022-06-16,2022-05-18,sell,,False,not-disclosed,house,257.57,32,59,4,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,29,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,CI:US,,ct,1LLVU1B8,us,Cigna Corp,CI:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
36,20003748968,F000462,100007277,431721,2022-06-17T13:05:03Z,2022-06-16,2022-05-18,buy,,False,not-disclosed,house,141.52,57,106,8,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,29,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,FRC:US,,ca,YX7VU1C2,us,First Republic Bank,FRC:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
37,20003748969,F000462,100007527,431941,2022-06-17T13:05:03Z,2022-06-16,2022-05-18,buy,,False,not-disclosed,house,225.98,36,67,5,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,29,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,GD:US,,va,N4TVU1B8,us,General Dynamics Corp,GD:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
38,20003748970,F000462,100013922,2331435,2022-06-17T13:05:03Z,2022-06-16,2022-05-25,sell,,False,not-disclosed,house,52.36,154,287,20,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,22,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,GXO:US,,ct,VXMVU1C9,us,GXO Logistic Inc,GXO:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
39,20003748971,F000462,100007869,432226,2022-06-17T13:05:03Z,2022-06-16,2022-06-14,sell,,False,not-disclosed,house,157.76,52,96,7,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,2,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,HELE:US,,tx,TXTVU1B3,us,Helen of Troy Ltd,HELE:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,,democrat
40,20003748972,F000462,100009259,433323,2022-06-17T13:05:03Z,2022-06-16,2022-06-01,sell,,False,not-disclosed,house,91.14,88,165,11,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,15,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,MRK:US,,nj,NANVU1B9,us,Merck & Co Inc,MRK:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
41,20003748973,F000462,100012664,436020,2022-06-17T13:05:03Z,2022-06-16,2022-06-13,sell,,False,not-disclosed,house,110.1,74,137,10,8000,204013848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021233.pdf,3,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,ZBH:US,,in,Y0SVU1F2,us,Zimmer Biomet Holdings Inc,ZBH:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
42,20003739566,F000462,100004708,429592,2022-06-10T13:10:04Z,2022-06-06,2022-05-02,sell,,False,not-disclosed,house,837.49,10,18,2,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,35,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,Y:US,,ny,JYSVU1B0,us,Alleghany Corp,Y:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
43,20003739567,F000462,100004708,429592,2022-06-10T13:10:04Z,2022-06-06,2022-04-29,sell,,False,not-disclosed,house,836.5,10,18,2,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,38,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,Y:US,,ny,JYSVU1B0,us,Alleghany Corp,Y:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
44,20003739568,F000462,100004849,429714,2022-06-10T13:10:04Z,2022-06-06,2022-04-29,buy,,False,not-disclosed,house,26.38,304,569,38,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,38,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],reit,COLD:US,,ga,3UJVU1C5,us,Americold Realty Trust,COLD:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,,democrat
45,20003739569,F000462,100004849,429714,2022-06-10T13:10:04Z,2022-06-06,2022-05-02,buy,,False,not-disclosed,house,25.77,311,583,39,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,35,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],reit,COLD:US,,ga,3UJVU1C5,us,Americold Realty Trust,COLD:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,,democrat
46,20003739570,F000462,100005136,429941,2022-06-10T13:10:04Z,2022-06-06,2022-04-25,buy,,False,not-disclosed,house,168.69,48,89,6,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,AVY:US,,oh,91LVU1B3,us,Avery Dennison Corp,AVY:US,materials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
47,20003739571,F000462,100005928,430570,2022-06-10T13:10:04Z,2022-06-06,2022-05-11,sell,,False,not-disclosed,house,47.66,169,315,22,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,26,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,C:US,,ny,23MVU1B3,us,Citigroup Inc,C:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
48,20003739572,F000462,100005928,430570,2022-06-10T13:10:04Z,2022-06-06,2022-04-27,sell,,False,not-disclosed,house,49.6,162,303,21,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,C:US,,ny,23MVU1B3,us,Citigroup Inc,C:US,financials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
49,20003739573,F000462,100007527,431941,2022-06-10T13:10:04Z,2022-06-06,2022-05-04,buy,,False,not-disclosed,house,242.92,34,62,5,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,33,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,GD:US,,va,N4TVU1B8,us,General Dynamics Corp,GD:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
50,20003739574,F000462,100013922,2331435,2022-06-10T13:10:04Z,2022-06-06,2022-04-27,buy,,False,not-disclosed,house,60.5,133,248,17,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,"['hsap', 'hsvr']",[],stock,GXO:US,,ct,VXMVU1C9,us,GXO Logistic Inc,GXO:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
51,20003739575,F000462,100008617,432782,2022-06-10T13:10:04Z,2022-06-06,2022-05-04,sell,,False,not-disclosed,house,180.2,45,84,6,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,33,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",['covid'],stock,JNJ:US,,nj,P0PVU1B1,us,Johnson & Johnson,JNJ:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
52,20003739576,F000462,100008617,432782,2022-06-10T13:10:04Z,2022-06-06,2022-04-25,sell,,False,not-disclosed,house,186.01,44,81,6,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",['covid'],stock,JNJ:US,,nj,P0PVU1B1,us,Johnson & Johnson,JNJ:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,,democrat
53,20003739577,F000462,100008613,432778,2022-06-10T13:10:04Z,2022-06-06,2022-05-11,buy,,False,not-disclosed,house,51.03,157,294,20,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,26,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,JCI:US,,,Q0PVU1B7,ie,Johnson Controls International PLC,JCI:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
54,20003739578,F000462,100010206,434096,2022-06-10T13:10:04Z,2022-06-06,2022-04-27,buy,,False,not-disclosed,house,231.63,35,65,5,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,PXD:US,,tx,6J7VU1C4,us,Pioneer Natural Resources Co,PXD:US,energy,fl,house,1948-05-16,Lois,female,Frankel,,democrat
55,20003739579,F000462,100010934,434678,2022-06-10T13:10:04Z,2022-06-06,2022-04-25,buy,,False,not-disclosed,house,248.02,33,61,5,8000,203999900,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020929.pdf,42,SUBHOLDING OF: MORGAN STANLEY IRA - X141,"['hsap', 'hsvr']",[],stock,SHW:US,,oh,Q29VU1C7,us,The Sherwin-Williams Co,SHW:US,materials,fl,house,1948-05-16,Lois,female,Frankel,,democrat
